title,price,registration,location,benzin,mileage,power,gefunden
Porsche Panamera GTS,79.911 €,EZ 02/2023,63456 Hanau,"Benzin, ca. 244 g CO₂/km (komb.)* , F",9.970 km,ca. 353 kW (480PS),gefunden auf autoscout24.de
Mercedes-Benz C 220 BlueTec / d (205.004) Top Gepflegt,18.500 €,EZ 10/2014,50389 Wesseling,"Diesel, ca. 4,0 l/100 km (komb.)* , ca. 106 g CO₂/km (komb.)* ",160.850 km,ca. 125 kW (170PS),gefunden auf autoscout24.de
Opel Insignia 2.0 Turbo 4x4 Edition - neuer Motor!,7.999 €,EZ 11/2008,78355 Hohenfels,"Benzin, ca. 8,9 l/100 km (komb.)* ",156.000 km,ca. 162 kW (220PS),gefunden auf autoscout24.de
"Audi A4 Limousine 45 TFSI sport qu.S-tronic,Navi+,VC,Kamer",27.990 €,EZ 08/2019,06406 Bernburg,"Benzin, ca. 7,5 l/100 km (komb.)* , ca. 172 g CO₂/km (komb.)* ",77.667 km,ca. 180 kW (245PS),gefunden auf autoscout24.de
Opel Karl 1.0 Edition SHZ*LenkradHZG*Temp*PDC*Klima,8.790 €,EZ 04/2017,38126 Braunschweig,"Benzin, ca. 4,3 l/100 km (komb.)* , ca. 102 g CO₂/km (komb.)* , C",46.801 km,ca. 55 kW (75PS),gefunden auf autoscout24.de
Seat Ibiza 1.0 TSI DSG FR LED Beats Navi Kamera PDC,20.890 €,EZ 06/2022,90556 Cadolzburg,"Benzin, ca. 5,9 l/100 km (komb.)* , ca. 133 g CO₂/km (komb.)* ",21.190 km,ca. 81 kW (110PS),gefunden auf autoscout24.de
Renault Twingo ENERGY TCe 90 Intens,10.200 €,EZ 04/2018,75382 Althengstett,"Benzin, ca. 4,8 l/100 km (komb.)* ",60.500 km,ca. 66 kW (90PS),gefunden auf autoscout24.de
Ford Focus RS Bluetooth Navi Klima Einparkhilfe,27.650 €,EZ 04/2017,83104 Tuntenhausen,"Benzin, ca. 7,7 l/100 km (komb.)* , ca. 175 g CO₂/km (komb.)* , E",99.315 km,ca. 257 kW (349PS),gefunden auf autoscout24.de
Mercedes-Benz A 180 CDI BlueEfficiency AMG Line*NAVI*SHZ*PDC,14.340 €,EZ 08/2014,65936 Frankfurt am Main,"Diesel, ca. 3,8 l/100 km (komb.)* , ca. 105 g CO₂/km (komb.)* , A+",91.013 km,ca. 80 kW (109PS),gefunden auf autoscout24.de
Audi A3 35 TDI S LINE NAVI LEDER SITZH PDC+,30.880 €,EZ 11/2022,47059 Duisburg,"Diesel, ca. 4,5 l/100 km (komb.)* , ca. 119 g CO₂/km (komb.)* ",8.343 km,ca. 110 kW (150PS),gefunden auf autoscout24.de
BMW 520i 520,4.000 €,EZ 04/2004,47799 Krefeld,"Benzin, ca. 9,0 l/100 km (komb.)* ",280.000 km,ca. 125 kW (170PS),gefunden auf autoscout24.de
"Renault ZOE R135 Z.E 50 Intens inkl. Batterie CCS, Winterpaket",17.990 €,EZ 10/2021,85716 Unterschleißheim,"Elektro, ca. 0 g CO₂/km (komb.)* ",29.400 km,ca. 51 kW (69PS),gefunden auf autoscout24.de
VW Golf Volkswagen VI Comfortline,6.990 €,EZ 09/2009,35457 Lollar,"Benzin, ca. 6,2 l/100 km (komb.)* , ca. 144 g CO₂/km (komb.)* ",188.000 km,ca. 90 kW (122PS),gefunden auf autoscout24.de
Audi A5 40 TDI Design/Bang & Olufsen/Massagesitze/LED,26.900 €,EZ 08/2019,39387 Oschersleben,"Diesel, ca. 4,5 l/100 km (komb.)* , ca. 119 g CO₂/km (komb.)* ",93.400 km,ca. 140 kW (190PS),gefunden auf autoscout24.de
VW Golf Volkswagen 1.4 TSI Join Aut.*LED*ACC*PDC*NAVI*SHZ*KLIMA*,18.740 €,EZ 06/2018,13559 Berlin,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 121 g CO₂/km (komb.)* , B",42.162 km,ca. 92 kW (125PS),gefunden auf autoscout24.de
Polestar 2 Long RangeSingle+PlusPaket+PilotPaket,38.685 €,EZ 12/2021,45309 Essen,"Elektro, ca. 0 g CO₂/km (komb.)* ",20.545 km,ca. 170 kW (231PS),gefunden auf autoscout24.de
Mercedes-Benz C 220 D Lim. AMG-Line/PANO/Burmester/Kamera,35.999 €,EZ 12/2020,33442 Herzebrock-Clarholz,"Diesel, ca. 4,3 l/100 km (komb.)* , ca. 113 g CO₂/km (komb.)* ",125.000 km,ca. 143 kW (194PS),gefunden auf autoscout24.de
Audi A4 1.8,1.999 €,EZ 10/1998,83022 Rosenheim,"Benzin, ca. 8,5 l/100 km (komb.)* , ca. 204 g CO₂/km (komb.)* ",292.000 km,ca. 92 kW (125PS),gefunden auf autoscout24.de
Opel Astra Energy#LED#Navi#Kamera#Automatik#Alu#5Tür,11.480 €,EZ 08/2014,47249 Duisburg,"Benzin, ca. 7,1 l/100 km (komb.)* , ca. 168 g CO₂/km (komb.)* , F",81.000 km,ca. 85 kW (116PS),gefunden auf autoscout24.de
Renault Megane 1.6 Liter * Klima - Tüv 04/2024 *,900 €,EZ 04/2000,64291 Darmstadt,"Benzin, ca. 7,0 l/100 km (komb.)* , ca. 165 g CO₂/km (komb.)* ",175.000 km,ca. 79 kW (107PS),gefunden auf autoscout24.de
BMW 320 e Lim. Advantage Navi.LED.AHK.PDCvo+hi.Hotspo,28.420 €,EZ 09/2021,74074 Heilbronn,"Hybrid, ca. 0 g CO₂/km (komb.)* ",44.207 km,ca. 150 kW (204PS),gefunden auf autoscout24.de
Mercedes-Benz E 300 de AMG-Line+Night+DISTRON+Com+LED+Kam+PDC,35.950 €,EZ 05/2019,94315 Straubing,Andere,36.261 km,ca. 143 kW (194PS),gefunden auf autoscout24.de
Seat Ibiza 1.4 Style Salsa*PDC*SHZ*KLIMA*AUX-IN*CD*,9.660 €,EZ 10/2014,50739 Köln,"Benzin, ca. 5,9 l/100 km (komb.)* , ca. 139 g CO₂/km (komb.)* , E",48.966 km,ca. 63 kW (86PS),gefunden auf autoscout24.de
BMW 535 d *M550D OPTIK-NAVI-AUTOMA-LEDER-AMBIENTE-SHZ,26.448 €,EZ 06/2016,41063 Mönchengladbach,"Diesel, ca. 5,6 l/100 km (komb.)* , ca. 148 g CO₂/km (komb.)* ",159.994 km,ca. 230 kW (313PS),gefunden auf autoscout24.de
BMW i3 s Navi Professional*DAB*PDC*Unfallfrei*,23.460 €,EZ 11/2021,81827 München,"Elektro, ca. 14,0 kWh/100 km (komb.)* , ca. 0 g CO₂/km (komb.)* ",11.810 km,ca. 135 kW (184PS),gefunden auf autoscout24.de
Mercedes-Benz A 200 Progressive Panorama/Distr./360°/Navi/LED,26.990 €,EZ 11/2018,86633 Neuburg an der Donau,"Benzin, ca. 5,3 l/100 km (komb.)* , ca. 143 g CO₂/km (komb.)* , C",29.640 km,ca. 120 kW (163PS),gefunden auf autoscout24.de
VW Up Volkswagen ! move ! KAM*SHZG*PDC*TEMP,9.925 €,EZ 10/2020,25436 Uetersen bei Hamburg,"Benzin, ca. 4,3 l/100 km (komb.)* , ca. 98 g CO₂/km (komb.)* ",47.249 km,ca. 48 kW (65PS),gefunden auf autoscout24.de
VW Golf Volkswagen 1.4 United,6.240 €,EZ 01/2008,73614 Schorndorf,"Benzin, ca. 6,9 l/100 km (komb.)* ",72.000 km,ca. 59 kW (80PS),gefunden auf autoscout24.de
"BMW 320d 320 M Sport Facelift 19""/Glasdach/Driv/Park/ACC",41.850 €,EZ 11/2022,54595 Prüm,"Diesel, ca. 5,1 l/100 km (komb.)* , ca. 134 g CO₂/km (komb.)* ",37.000 km,ca. 140 kW (190PS),gefunden auf autoscout24.de
Mercedes-Benz EQE 53 AMG 4M Keramik Driversp Fahrass WideScreen,79.990 €,EZ 03/2023,80636 München,"Elektro, ca. 0 g CO₂/km (komb.)* ",2.997 km,ca. 460 kW (625PS),gefunden auf autoscout24.de
BMW 525d 525,7.100 €,EZ 08/2008,13589 Berlin,"Diesel, ca. 6,2 l/100 km (komb.)* , ca. 165 g CO₂/km (komb.)* ",235.000 km,ca. 145 kW (197PS),gefunden auf autoscout24.de
Mercedes-Benz A 180 d Progressive Aut. LED~KAMERA~NAVI~STANDHZG,24.799 €,EZ 10/2020,20459 Hamburg,"Diesel, ca. 4,0 l/100 km (komb.)* , ca. 105 g CO₂/km (komb.)* ",37.800 km,ca. 85 kW (116PS),gefunden auf autoscout24.de
Mazda 3 2.0 Skyactiv-X Mild-Hybrid Edition 100 ACC NAV,21.950 €,EZ 01/2021,31867 Lauenau,"Hybrid, ca. 4,5 l/100 km (komb.)* , ca. 103 g CO₂/km (komb.)* , A+",17.290 km,ca. 132 kW (179PS),gefunden auf autoscout24.de
VW Golf Plus Volkswagen V Trendline 1.9 TDI KLIMA GRA ZV SERVO,2.480 €,EZ 02/2007,79618 Rheinfelden (Baden) (Rheinfelden),"Diesel, ca. 5,6 l/100 km (komb.)* , ca. 148 g CO₂/km (komb.)* , D",287.000 km,ca. 77 kW (105PS),gefunden auf autoscout24.de
Mercedes-Benz A 250 Urban Navi AHK LED Sitzheizung PDC,15.250 €,EZ 10/2016,23701 Eutin,"Benzin, ca. 6,7 l/100 km (komb.)* , ca. 154 g CO₂/km (komb.)* , D",137.711 km,ca. 155 kW (211PS),gefunden auf autoscout24.de
Mini Cooper S *5-trg.*Chili*Kamera*Pano*,20.970 €,EZ 09/2019,55131 Mainz,"Benzin, ca. 6,5 l/100 km (komb.)* , ca. 149 g CO₂/km (komb.)* , D",44.063 km,ca. 141 kW (192PS),gefunden auf autoscout24.de
Renault Clio 1.0 V ZEN SITZHEIZUNG+LED+KLIMA,11.470 €,EZ 04/2021,51381 Leverkusen,"Benzin, ca. 5,1 l/100 km (komb.)* , ca. 116 g CO₂/km (komb.)* , C",77.250 km,ca. 49 kW (67PS),gefunden auf autoscout24.de
Honda Jazz 1.2 Cool/74000 KM!!!,3.990 €,EZ 02/2009,29352 Adelheidsdorf,"Benzin, ca. 5,5 l/100 km (komb.)* , ca. 130 g CO₂/km (komb.)* ",74.000 km,ca. 57 kW (77PS),gefunden auf autoscout24.de
Skoda Fabia Cool Edition-KLIMA-TÜV NEU-ALLWETTE-1.HAND,4.500 €,EZ 09/2009,15711 Königs Wusterhausen,"Benzin, ca. 5,9 l/100 km (komb.)* , ca. 140 g CO₂/km (komb.)* ",99.000 km,ca. 51 kW (69PS),gefunden auf autoscout24.de
Ford Fiesta 1.0 EcoBoost Start-Stop Individual,7.800 €,EZ 02/2015,90763 Fürth,"Benzin, ca. 4,3 l/100 km (komb.)* ",94.001 km,ca. 92 kW (125PS),gefunden auf autoscout24.de
Seat Ibiza Reference 1.0 MPI 5 Gang SHZ PDC hinten,10.940 €,EZ 01/2019,46244 Bottrop,"Benzin, ca. 5,0 l/100 km (komb.)* , ca. 112 g CO₂/km (komb.)* , C",75.415 km,ca. 59 kW (80PS),gefunden auf autoscout24.de
Opel Astra K (Facelift) 1.2 GS Line *wenig Kilometer*,16.990 €,EZ 01/2021,04416 Markkleeberg,"Benzin, ca. 5,5 l/100 km (komb.)* , ca. 125 g CO₂/km (komb.)* ",6.000 km,ca. 96 kW (131PS),gefunden auf autoscout24.de
Seat Mii 1.0 (Ecomotive) Start & Stop Trend,9.800 €,EZ 04/2018,84543 Winhoering,"Benzin, ca. 4,1 l/100 km (komb.)* ",11.700 km,ca. 44 kW (60PS),gefunden auf autoscout24.de
VW Golf Volkswagen VIII Active 1.0 TSI DSG ACC ParkAss. FLA,24.470 €,EZ 10/2022,84030 Landshut,"Benzin, ca. 0 g CO₂/km (komb.)* ",9.686 km,ca. 81 kW (110PS),gefunden auf autoscout24.de
Cupra Leon e-HYBRID 1.4 TSI DSG NAVI LED ACC PDC,24.480 €,EZ 12/2020,79618 Rheinfelden (Baden) (Rheinfelden),"Hybrid, ca. 1,6 l/100 km (komb.)* , ca. 35 g CO₂/km (komb.)* , A+",33.375 km,ca. 180 kW (245PS),gefunden auf autoscout24.de
"BMW 320d 320 M Sport Facelift 19""/Glasdach/Driv/Park/ACC",43.850 €,EZ 12/2022,54595 Prüm,"Diesel, ca. 5,2 l/100 km (komb.)* , ca. 136 g CO₂/km (komb.)* ",13.000 km,ca. 140 kW (190PS),gefunden auf autoscout24.de
"BMW i3 S 120Ah NaviProf.Rfk,LED,Harman/Kardon,DAB",22.899 €,EZ 12/2020,86899 Landsberg am Lech,"Elektro, ca. 0 g CO₂/km (komb.)* ",29.184 km,ca. 135 kW (184PS),gefunden auf autoscout24.de
Hyundai i30 Limo. FIFA WM Edition 1.6 CRDI 6/Gang Euro 5,1.990 €,EZ 08/2011,38644 Goslar,"Diesel, ca. 4,7 l/100 km (komb.)* , ca. 124 g CO₂/km (komb.)* ",287.000 km,ca. 66 kW (90PS),gefunden auf autoscout24.de
Mercedes-Benz C 180 CGI Avantgarde Aut. *LED*TEMPO*PDC*,22.990 €,EZ 04/2018,50739 Köln,"Benzin, ca. 5,0 l/100 km (komb.)* , ca. 136 g CO₂/km (komb.)* , A",106.663 km,ca. 115 kW (156PS),gefunden auf autoscout24.de
"Skoda Scala Drive 125 1.0 TSI DSG, NAVI/2xPDC/LED/SHZ",18.880 €,EZ 04/2020,64295 Darmstadt,"Benzin, ca. 5,8 l/100 km (komb.)* , ca. 132 g CO₂/km (komb.)* ",38.010 km,ca. 85 kW (116PS),gefunden auf autoscout24.de
